Case,OCC_DATE,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
201014158,1/7/2010 0:00,2000,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,1500 BLOCK N KRAMERIA ST,3164241,1695245
201015285,1/10/2010 0:00,1000,INACTIVE,5309,5309-0,HARASSMENT,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,4200 BLOCK E ILIFF AVE,3158289,1671320
201023300,1/14/2010 0:00,1900,INACTIVE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-MALE HOMOSEXUAL (GAY),25,OTHER/UNKNOWN                                                                  ,300 BLOCK N ST PAUL ST,3154520,1688111
201030155,1/17/2010 0:00,800,INACTIVE,5309,5309-0,HARASSMENT,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,3100 BLOCK N MARION ST,3148499,1702794
201042484,1/26/2010 0:00,1935,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1700 BLOCK BLK OF STOUT ST,,
201042484,1/26/2010 0:00,1935,INACTIVE,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-MALE HOMOSEXUAL (GAY),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1700 BLOCK BLK OF STOUT ST,,
201052050,2/1/2010 0:00,1100,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),25,OTHER/UNKNOWN                                                                  ,1400 BLOCK N BANNOCK ST,3143151,1694551
201057756,2/4/2010 0:00,1855,INACTIVE,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-ISLAMIC,18,PARKING LOT/GARAGE                                                             ,1200 BLOCK S QUEBEC WAY,3168208,1678222
201060813,2/5/2010 0:00,2000,INACTIVE,1315,1315-0,AGGRAVATED ASSAULT,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,800 BLOCK 16TH ST,3142551,1697022
201069349,2/10/2010 0:00,1200,INACTIVE,5309,5309-0,HARASSMENT,ANTI-BLACK,22,SCHOOL/COLLEGE,7100 BLOCK E MONTVIEW BLVD,3167333,1697284
201069421,2/11/2010 0:00,1530,INACTIVE,5309,5309-0,HARASSMENT,ANTI-BLACK,24,SPECIALTY STORE                                                                ,3200 BLOCK E 2ND AVE,3154867,1687481
201072317,2/13/2010 0:00,305,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-ISLAMIC,3,BAR/NIGHT CLUB                                                                 ,1800 BLOCK S BROADWAY ST,3144343,1674371
201072317,2/13/2010 0:00,305,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-ISLAMIC,3,BAR/NIGHT CLUB                                                                 ,1800 BLOCK S BROADWAY ST,3144343,1674371
201072317,2/13/2010 0:00,305,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-ISLAMIC,3,BAR/NIGHT CLUB                                                                 ,1800 BLOCK S BROADWAY ST,3144343,1674371
201079291,2/17/2010 0:00,1025,REFUSED BY DA - OTHER REASON,5309,5309-0,HARASSMENT,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,5000 BLOCK N RALEIGH ST,3128740,1712167
2010113946,2/28/2010 0:00,800,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-HOMOSEXUAL (GAY AND LESBIAN),20,RESIDENCE/HOME                                                                 ,4900 BLOCK N JASPER ST,3195098,1711679
2010113948,3/10/2010 0:00,900,INACTIVE,5309,5309-0,HARASSMENT,ANTI-BLACK,22,SCHOOL/COLLEGE,4200 BLOCK N SHOSHONE ST,3137901,1707450
2010116135,3/11/2010 0:00,1630,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-BLACK,22,SCHOOL/COLLEGE,1700 BLOCK E LOUISIANA AVE,3150133,1677431
2010117286,3/12/2010 0:00,1030,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,22,SCHOOL/COLLEGE,7100 BLOCK E MONTVIEW BLVD,3167124,1697800
2010117286,3/12/2010 0:00,1030,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5203,5203-0,WEAPON-CARRYING PROHIBITED,ANTI-BLACK,22,SCHOOL/COLLEGE,7100 BLOCK E MONTVIEW BLVD,3167124,1697800
